student id,window name,card/phone,gender,backpack
1,Orient Express,1,1,0
2,Orient Express,1,1,0
3,Orient Express,1,1,1
4,Orient Express,1,1,0
5,Orient Express,1,1,1
6,Orient Express,1,1,1
7,Orient Express,1,1,1
8,Orient Express,1,1,0
9,Orient Express,0,1,0
10,Orient Express,0,0,0
11,Xinjiang noodles,1,1,0
12,Xinjiang noodles,0,1,0
13,Xinjiang noodles,1,1,1
14,Xinjiang noodles,1,1,0
15,Xinjiang noodles,0,0,0
16,Xinjiang noodles,1,0,0
17,Xinjiang noodles,1,1,0
18,Xinjiang noodles,1,1,0
19,Xinjiang noodles,1,1,1
20,Xinjiang noodles,1,1,1
21,Hollowware vegetables,1,0,0
22,Hollowware vegetables,1,1,0
23,Hollowware vegetables,1,0,1
24,Hollowware vegetables,1,1,1
25,Hollowware vegetables,1,1,1
26,Hollowware vegetables,1,1,1
27,Hollowware vegetables,0,1,0
28,Hollowware vegetables,1,1,0
29,Hollowware vegetables,1,1,1
30,Hollowware vegetables,1,1,1
31,Tile spicy chicken,0,1,1
32,Tile spicy chicken,0,1,1
33,Tile spicy chicken,1,1,1
34,Tile spicy chicken,0,1,1
35,Tile spicy chicken,1,1,1
36,Tile spicy chicken,1,0,1
37,Tile spicy chicken,1,0,1
38,Tile spicy chicken,1,1,0
39,Tile spicy chicken,1,1,0
40,Tile spicy chicken,1,1,1
